Comunidad,Fecha,Casos,IA14,Fallecidos,CasosDiarios,FallecidosDiarios
Galicia,2020-04-11,7176,163.14,261,230,18
Islas Baleares,2020-04-11,1507,56.11,102,19,5
Islas Canarias,2020-04-11,1887,40.03,95,29,1
La Rioja,2020-04-11,3223,564.08,207,147,11
Melilla,2020-04-11,98,61.28,2,3,0
País Vasco,2020-04-11,10515,243.64,765,412,36
Principado de Asturias,2020-04-11,1827,80.47,128,28,7
Región de Murcia,2020-04-11,1413,40.9,94,30,4
Andalucía,2020-04-12,10006,63.27,799,294,62
Aragón,2020-04-12,4070,167.67,450,101,25
Cantabria,2020-04-12,1752,125.46,110,33,3
Castilla y León,2020-04-12,12118,279.39,1221,575,41
Castilla-La Mancha,2020-04-12,13698,415.77,1543,242,60
Cataluña,2020-04-12,34027,247.56,3442,1043,111
Ceuta,2020-04-12,93,84.93,4,0,0
Comunidad de Madrid,2020-04-12,46587,358.83,6278,738,194
Comunidad Foral de Navarra,2020-04-12,3969,299.29,232,152,5
Comunidad Valenciana,2020-04-12,8841,81.08,838,263,20
España,2020-04-12,166019,185.48,16972,4167,619
Extremadura,2020-04-12,2580,105.27,312,94,9
Galicia,2020-04-12,7336,155.47,274,160,13
Islas Baleares,2020-04-12,1534,50.11,112,27,10
Islas Canarias,2020-04-12,1918,36.83,95,31,0
La Rioja,2020-04-12,3279,520.84,219,56,12
Melilla,2020-04-12,98,57.81,2,0,0
País Vasco,2020-04-12,10772,227.92,804,257,39
Principado de Asturias,2020-04-12,1892,78.61,140,65,12
Región de Murcia,2020-04-12,1449,38.62,97,36,3
Andalucía,2020-04-13,10187,56.83,815,181,16
Aragón,2020-04-13,4187,159.86,464,117,14
Cantabria,2020-04-13,1777,116.51,117,25,7
Castilla y León,2020-04-13,12628,284.51,1263,510,42
Castilla-La Mancha,2020-04-13,14054,403.18,1626,356,83
Cataluña,2020-04-13,34726,241.93,3538,699,96
Ceuta,2020-04-13,95,82.57,4,2,0
Comunidad de Madrid,2020-04-13,47146,346.01,6423,559,145
Comunidad Foral de Navarra,2020-04-13,4092,297.46,239,123,7
Comunidad Valenciana,2020-04-13,9060,78.94,876,219,38
España,2020-04-13,169496,179.26,17489,3477,517
Extremadura,2020-04-13,2658,102.84,321,78,9
Galicia,2020-04-13,7494,139.69,284,158,10
Islas Baleares,2020-04-13,1550,47.85,117,16,5
Islas Canarias,2020-04-13,1944,34.36,96,26,1
La Rioja,2020-04-13,3358,512.95,223,79,4
Melilla,2020-04-13,101,57.81,2,3,0
País Vasco,2020-04-13,11018,224.71,831,246,27
Principado de Asturias,2020-04-13,1958,78.22,149,66,9
Región de Murcia,2020-04-13,1463,35.08,101,14,4
Andalucía,2020-04-14,10192,51.98,836,5,21
Aragón,2020-04-14,4245,149.55,492,58,28
Cantabria,2020-04-14,1796,107.56,120,19,3
Castilla y León,2020-04-14,13180,290.43,1299,552,36
Castilla-La Mancha,2020-04-14,14329,388.86,1714,275,88
Cataluña,2020-04-14,35197,213.99,3666,471,128
Ceuta,2020-04-14,96,73.13,4,1,0
Comunidad de Madrid,2020-04-14,48048,308.24,6568,902,145
Comunidad Foral de Navarra,2020-04-14,4150,282.02,249,58,10
Comunidad Valenciana,2020-04-14,9213,74.04,907,153,31
España,2020-04-14,172541,166.13,18056,3045,567
Extremadura,2020-04-14,2684,98.9,334,26,13
Galicia,2020-04-14,7597,54.34,290,103,6
Islas Baleares,2020-04-14,1571,43.67,118,21,1
Islas Canarias,2020-04-14,1958,32.32,102,14,6
La Rioja,2020-04-14,3420,508.21,234,62,11
Melilla,2020-04-14,101,54.34,2,0,0
País Vasco,2020-04-14,11226,222.21,859,208,28
Principado de Asturias,2020-04-14,2051,79.68,156,93,7
Región de Murcia,2020-04-14,1487,34.34,106,24,5
Andalucía,2020-04-15,10595,49.95,865,403,29
Aragón,2020-04-15,4338,1.4,514,93,22
Cantabria,2020-04-15,1823,104.98,132,27,12
Castilla y León,2020-04-15,13697,285.47,1337,517,38
Castilla-La Mancha,2020-04-15,14680,375.48,1755,351,41
Cataluña,2020-04-15,36505,215.16,3756,1308,90
Ceuta,2020-04-15,98,55.44,4,2,0
Comunidad de Madrid,2020-04-15,49526,295.44,6724,1478,156
Comunidad Foral de Navarra,2020-04-15,4246,267.34,252,96,3
Comunidad Valenciana,2020-04-15,9424,69.99,945,211,38
España,2020-04-15,177633,160.54,18579,5092,523
Extremadura,2020-04-15,2762,101.43,342,78,8
Galicia,2020-04-15,7708,121.36,299,111,9
Islas Baleares,2020-04-15,1606,41.32,125,35,7
Islas Canarias,2020-04-15,1975,27.63,104,17,2
La Rioja,2020-04-15,3457,472.54,246,37,12
Melilla,2020-04-15,102,46.25,2,1,0
País Vasco,2020-04-15,11475,210.03,902,249,43
Principado de Asturias,2020-04-15,2096,75.67,166,45,10
Región de Murcia,2020-04-15,1520,32.06,109,33,3
Andalucía,2020-04-16,10807,45.58,912,212,47
Aragón,2020-04-16,4566,141.44,543,228,29
Cantabria,2020-04-16,1845,99.3,137,22,5
Castilla y León,2020-04-16,14380,292.76,1372,683,35
Castilla-La Mancha,2020-04-16,15151,367.41,1796,471,41
Cataluña,2020-04-16,37354,202.6,3855,849,99
Ceuta,2020-04-16,100,53.08,4,2,0
Comunidad de Madrid,2020-04-16,50694,278.22,6877,1168,153
Comunidad Foral de Navarra,2020-04-16,4348,254.66,261,102,9
Comunidad Valenciana,2020-04-16,9615,66.09,972,191,27
España,2020-04-16,182816,154.34,19130,5183,551
Extremadura,2020-04-16,2881,97.78,359,119,17
Galicia,2020-04-16,7873,112.28,310,165,11
Islas Baleares,2020-04-16,1637,37.67,131,31,6
Islas Canarias,2020-04-16,1988,25.26,107,13,3
La Rioja,2020-04-16,3916,578.6,257,459,11
Melilla,2020-04-16,103,47.41,2,1,0
País Vasco,2020-04-16,11790,202.6,956,315,54
Principado de Asturias,2020-04-16,2170,76.85,168,74,2
Región de Murcia,2020-04-16,1598,34.41,111,78,2
Andalucía,2020-04-17,11053,43.72,940,246,28
Aragón,2020-04-17,4664,134.54,562,98,19
Cantabria,2020-04-17,1884,96.89,144,39,7
Castilla y León,2020-04-17,14903,292.89,1401,523,29
Castilla-La Mancha,2020-04-17,15997,367.66,1852,846,56
Cataluña,2020-04-17,38316,193.56,3752,962,-103
Ceuta,2020-04-17,101,46,4,1,0
Comunidad de Madrid,2020-04-17,51993,267.21,7007,1299,130
Comunidad Foral de Navarra,2020-04-17,4433,244.11,338,85,77
Comunidad Valenciana,2020-04-17,9869,64.85,999,254,27
España,2020-04-17,188068,149.61,19478,5252,348
Extremadura,2020-04-17,3019,105.46,372,138,13
Galicia,2020-04-17,8013,103.5,320,140,10
Islas Baleares,2020-04-17,1668,35.76,134,31,3
Islas Canarias,2020-04-17,2009,24.1,111,21,4
La Rioja,2020-04-17,4098,591.54,262,182,5
Melilla,2020-04-17,104,39.31,2,1,0
País Vasco,2020-04-17,12089,193.04,992,299,36
Principado de Asturias,2020-04-17,2230,77.92,174,60,6
Región de Murcia,2020-04-17,1625,32.13,112,27,1
Andalucía,2020-04-18,11204,43.72,967,151,27
Aragón,2020-04-18,4761,134.54,601,97,39
Cantabria,2020-04-18,1990,98.89,149,106,5
Castilla y León,2020-04-18,15293,292.89,1429,390,28
Castilla-La Mancha,2020-04-18,16349,367.66,1913,352,61
Cataluña,2020-04-18,39943,193.56,3879,1627,127
Ceuta,2020-04-18,112,46,4,11,0
Comunidad de Madrid,2020-04-18,52946,267.21,7132,953,125
Comunidad Foral de Navarra,2020-04-18,4579,244.11,354,146,16
Comunidad Valenciana,2020-04-18,10117,64.85,1042,248,43
España,2020-04-18,191726,149.61,20043,3658,565
Extremadura,2020-04-18,3131,105.46,380,112,8
Galicia,2020-04-18,8084,103.5,334,71,14
Islas Baleares,2020-04-18,1748,35.76,148,80,14
Islas Canarias,2020-04-18,2035,24.1,115,26,4
La Rioja,2020-04-18,4250,591.54,272,152,10
Melilla,2020-04-18,104,39.31,2,0,0
País Vasco,2020-04-18,12355,193.04,1020,266,28
Principado de Asturias,2020-04-18,2272,77.92,187,42,13
Región de Murcia,2020-04-18,1647,32.13,115,22,3
Andalucía,2020-04-19,11425,34.51,993,221,26
Aragón,2020-04-19,4831,121.2,619,70,18
Cantabria,2020-04-19,2050,104.81,153,60,4
Castilla y León,2020-04-19,15621,286.39,1458,328,29
Castilla-La Mancha,2020-04-19,16625,324.37,1963,276,50
Cataluña,2020-04-19,40600,189.81,3933,657,54
Ceuta,2020-04-19,113,30.67,4,1,0
Comunidad de Madrid,2020-04-19,56145,259.63,7239,3199,107
Comunidad Foral de Navarra,2020-04-19,4656,236.62,369,77,15
Comunidad Valenciana,2020-04-19,10250,55.02,1065,133,23
España,2020-04-19,195944,138.61,20453,4218,410
Extremadura,2020-04-19,3192,101.99,384,61,4
Galicia,2020-04-19,8185,83.02,346,101,12
Islas Baleares,2020-04-19,1773,41.76,155,25,7
Islas Canarias,2020-04-19,2047,19.74,119,12,4
La Rioja,2020-04-19,4330,351.33,277,80,5
Melilla,2020-04-19,107,0.03,2,3,0
País Vasco,2020-04-19,12569,178.51,1062,214,42
Principado de Asturias,2020-04-19,2298,67.76,196,26,9
Región de Murcia,2020-04-19,1653,27.38,116,6,1
Andalucía,2020-04-20,11555,32.59,1013,130,20
Aragón,2020-04-20,4886,116.65,637,55,18
Cantabria,2020-04-20,2083,103.26,158,33,5
Castilla y León,2020-04-20,15857,280.93,1493,236,35
Castilla-La Mancha,2020-04-20,16796,304.69,2021,171,58
Cataluña,2020-04-20,41676,193.51,4009,1076,76
Ceuta,2020-04-20,111,33.03,4,-2,0
Comunidad de Madrid,2020-04-20,56963,252.95,7351,818,112
Comunidad Foral de Navarra,2020-04-20,4697,224.09,385,41,16
Comunidad Valenciana,2020-04-20,10018,53.64,1079,-232,14
España,2020-04-20,200210,135.65,20852,4266,399
Extremadura,2020-04-20,3186,104.71,389,-6,5
Galicia,2020-04-20,8299,79.57,352,114,6
Islas Baleares,2020-04-20,1788,40.71,157,15,2
Islas Canarias,2020-04-20,2067,19.41,119,20,0
La Rioja,2020-04-20,3734,320.39,285,-596,8
Melilla,2020-04-20,104,20.81,2,-3,0
País Vasco,2020-04-20,12628,172.93,1081,59,19
Principado de Asturias,2020-04-20,2348,68.64,200,50,4
Región de Murcia,2020-04-20,1646,25.91,117,-7,1
Andalucía,2020-04-21,11689,31.85,1017,134,4
Aragón,2020-04-21,4938,112.86,643,52,6
Cantabria,2020-04-21,2123,107.04,165,40,7
Castilla y León,2020-04-21,16259,278.3,1521,402,28
Castilla-La Mancha,2020-04-21,17045,293.58,2075,249,54
Cataluña,2020-04-21,43112,192.69,4152,1436,143
Ceuta,2020-04-21,115,33.03,4,4,0
Comunidad de Madrid,2020-04-21,57997,263.05,7460,1034,109
Comunidad Foral de Navarra,2020-04-21,4831,217.97,397,134,12
Comunidad Valenciana,2020-04-21,10399,52.78,1089,381,10
España,2020-04-21,204178,135.39,21282,3968,430
Extremadura,2020-04-21,3269,101.15,397,83,8
Galicia,2020-04-21,8468,79.16,360,169,8
Islas Baleares,2020-04-21,1808,38.19,161,20,4
Islas Canarias,2020-04-21,2085,16.72,120,18,1
La Rioja,2020-04-21,3763,289.46,294,29,9
Melilla,2020-04-21,110,15.03,2,6,0
País Vasco,2020-04-21,12810,171.62,1103,182,22
Principado de Asturias,2020-04-21,2365,67.07,202,17,2
Región de Murcia,2020-04-21,1696,26.64,120,50,3
Andalucía,2020-04-22,11921,31.05,1050,232,33
Aragón,2020-04-22,5054,114.08,656,116,13
Cantabria,2020-04-22,2160,101.19,167,37,2
Castilla y León,2020-04-22,16839,282.59,1554,580,33
Castilla-La Mancha,2020-04-22,17321,272.18,2140,276,65
Cataluña,2020-04-22,43802,184.42,4247,690,95
Ceuta,2020-04-22,118,40.11,4,3,0
Comunidad de Madrid,2020-04-22,59199,251.36,7577,1202,117
Comunidad Foral de Navarra,2020-04-22,4899,218.89,401,68,4
Comunidad Valenciana,2020-04-22,10538,57.62,1106,139,17
España,2020-04-22,208389,131.2,21717,4211,435
Extremadura,2020-04-22,3230,97.97,404,-39,7
Galicia,2020-04-22,8634,77.64,368,166,8
Islas Baleares,2020-04-22,1836,36.89,164,28,3
Islas Canarias,2020-04-22,2094,15.42,121,9,1
La Rioja,2020-04-22,3792,265.47,298,29,4
Melilla,2020-04-22,105,13.87,2,-5,0
País Vasco,2020-04-22,13044,162.7,1124,234,21
Principado de Asturias,2020-04-22,2419,69.81,211,54,9
Región de Murcia,2020-04-22,1695,24.7,123,-1,3
Andalucía,2020-04-23,12237,30.71,1079,316,29
Aragón,2020-04-23,5237,117.64,681,183,25
Cantabria,2020-04-23,2206,101.02,173,46,6
Castilla y León,2020-04-23,17402,286.89,1582,563,28
Castilla-La Mancha,2020-04-23,17557,249.3,2188,236,48
Cataluña,2020-04-23,44892,180.44,4343,1090,96
Ceuta,2020-04-23,118,40.11,4,0,0
Comunidad de Madrid,2020-04-23,60487,249.27,7684,1288,107
Comunidad Foral de Navarra,2020-04-23,4994,216.9,409,95,8
Comunidad Valenciana,2020-04-23,10692,54.52,1124,154,18
España,2020-04-23,213024,128.82,22157,4635,440
Extremadura,2020-04-23,3260,92.44,407,30,3
Galicia,2020-04-23,8805,75.83,375,171,7
Islas Baleares,2020-04-23,1861,35.93,168,25,4
Islas Canarias,2020-04-23,2113,12.96,121,19,0
La Rioja,2020-04-23,3839,256.63,303,47,5
Melilla,2020-04-23,106,15.03,2,1,0
País Vasco,2020-04-23,13436,164.42,1167,392,43
Principado de Asturias,2020-04-23,2453,70,223,34,12
Región de Murcia,2020-04-23,1721,24.43,124,26,1
Andalucía,2020-04-24,11536,24.08,1107,-701,28
Aragón,2020-04-24,4867,78.53,695,-370,14
Cantabria,2020-04-24,2084,73.14,178,-122,5
Castilla y León,2020-04-24,15692,191.29,1612,-1710,30
Castilla-La Mancha,2020-04-24,15365,113.24,2255,-2192,67
Cataluña,2020-04-24,45544,178.76,4393,652,50
Ceuta,2020-04-24,100,10.62,4,-18,0
Comunidad de Madrid,2020-04-24,58191,201.22,7765,-2296,81
Comunidad Foral de Navarra,2020-04-24,4581,127.33,417,-413,8
Comunidad Valenciana,2020-04-24,9939,32.14,1147,-753,23
España,2020-04-24,202990,97.75,22524,-10034,367
Extremadura,2020-04-24,2718,36.15,411,-542,4
Galicia,2020-04-24,8932,73.57,382,127,7
Islas Baleares,2020-04-24,1821,28.97,172,-40,4
Islas Canarias,2020-04-24,2140,13.1,128,27,7
La Rioja,2020-04-24,3790,225.38,307,-49,4
Melilla,2020-04-24,107,13.87,2,1,0
País Vasco,2020-04-24,11881,80.53,1193,-1555,26
Principado de Asturias,2020-04-24,2234,42.53,231,-219,8
Región de Murcia,2020-04-24,1468,5.69,125,-253,1
Andalucía,2020-04-25,11703,23.66,1131,167,24
Aragón,2020-04-25,4922,72.24,709,55,14
Cantabria,2020-04-25,2071,60.58,182,-13,4
Castilla y León,2020-04-25,15999,185.33,1639,307,27
Castilla-La Mancha,2020-04-25,15509,100.99,2292,144,37
Cataluña,2020-04-25,46261,172.99,4498,717,105
Ceuta,2020-04-25,100,8.26,4,0,0
Comunidad de Madrid,2020-04-25,58819,194.65,7848,628,83
Comunidad Foral de Navarra,2020-04-25,4627,123.81,429,46,12
Comunidad Valenciana,2020-04-25,10066,29.74,1172,127,25
España,2020-04-25,205905,93.68,22902,2915,378
Extremadura,2020-04-25,2718,21.73,416,0,5
Galicia,2020-04-25,9116,71.87,388,184,6
Islas Baleares,2020-04-25,1847,29.58,174,26,2
Islas Canarias,2020-04-25,2155,12.45,130,15,2
La Rioja,2020-04-25,3821,188.76,311,31,4
Melilla,2020-04-25,108,11.56,2,1,0
País Vasco,2020-04-25,12366,83.83,1212,485,19
Principado de Asturias,2020-04-25,2238,40.18,239,4,8
Región de Murcia,2020-04-25,1468,3.68,126,0,1
Andalucía,2020-04-26,11774,21.01,1145,71,14
Aragón,2020-04-26,4955,67.08,712,33,3
Cantabria,2020-04-26,2083,56.96,183,12,1
Castilla y León,2020-04-26,16222,171.03,1666,223,27
Castilla-La Mancha,2020-04-26,15609,94.01,2330,100,38
Cataluña,2020-04-26,46811,166.56,4566,550,68
Ceuta,2020-04-26,100,8.26,4,0,0
Comunidad de Madrid,2020-04-26,59126,188.18,7922,307,74
Comunidad Foral de Navarra,2020-04-26,4712,113.57,431,85,2
Comunidad Valenciana,2020-04-26,10160,26.36,1186,94,14
España,2020-04-26,207634,88.49,23190,1729,288
Extremadura,2020-04-26,2736,14.61,422,18,6
Galicia,2020-04-26,9176,68.16,394,60,6
Islas Baleares,2020-04-26,1854,27.84,175,7,1
Islas Canarias,2020-04-26,2167,11.56,131,12,1
La Rioja,2020-04-26,3861,183.71,315,40,4
Melilla,2020-04-26,110,13.87,2,2,0
País Vasco,2020-04-26,12455,76.23,1230,89,18
Principado de Asturias,2020-04-26,2249,34.9,249,11,10
Región de Murcia,2020-04-26,1474,1.67,127,6,1
Andalucía,2020-04-27,11852,20.88,1157,78,12
Aragón,2020-04-27,4985,60.49,726,30,14
Cantabria,2020-04-27,2104,56.27,186,21,3
Castilla y León,2020-04-27,16404,157.36,1690,182,24
Castilla-La Mancha,2020-04-27,15664,79.2,2365,55,35
Cataluña,2020-04-27,47755,169.75,4699,944,133
Ceuta,2020-04-27,100,5.9,4,0,0
Comunidad de Madrid,2020-04-27,59421,184.22,7986,295,64
Comunidad Foral de Navarra,2020-04-27,4733,97.98,432,21,1
Comunidad Valenciana,2020-04-27,10180,22.38,1189,20,3
España,2020-04-27,209465,85.19,23521,1831,331
Extremadura,2020-04-27,2749,8.52,428,13,6
Galicia,2020-04-27,9238,64.6,405,62,11
Islas Baleares,2020-04-27,1859,26.88,179,5,4
Islas Canarias,2020-04-27,2178,10.87,131,11,0
La Rioja,2020-04-27,3892,168.56,320,31,5
Melilla,2020-04-27,110,10.41,2,0,0
País Vasco,2020-04-27,12513,67.72,1241,58,11
Principado de Asturias,2020-04-27,2254,28.94,253,5,4
Región de Murcia,2020-04-27,1474,0.74,128,0,1
Andalucía,2020-04-28,11913,20.32,1168,61,11
Aragón,2020-04-28,5004,57.53,735,19,9
Cantabria,2020-04-28,2115,72.28,188,11,2
Castilla y León,2020-04-28,16589,182.78,1710,185,20
Castilla-La Mancha,2020-04-28,15706,167.94,2396,42,31
Cataluña,2020-04-28,48158,168.87,4808,403,109
Ceuta,2020-04-28,100,14.15,4,0,0
Comunidad de Madrid,2020-04-28,59784,176.13,8048,363,62
Comunidad Foral de Navarra,2020-04-28,4759,93.09,432,26,0
Comunidad Valenciana,2020-04-28,10204,24.46,1200,24,11
España,2020-04-28,210773,81.28,23822,1308,301
Extremadura,2020-04-28,2751,34.37,433,2,5
Galicia,2020-04-28,9328,64.12,412,90,7
Islas Baleares,2020-04-28,1870,26.01,181,11,2
Islas Canarias,2020-04-28,2187,10.63,133,9,2
La Rioja,2020-04-28,3897,150.57,326,5,6
Melilla,2020-04-28,114,15.03,2,4,0
País Vasco,2020-04-28,12564,60.6,1255,51,14
Principado de Asturias,2020-04-28,2255,28.65,261,1,8
Región de Murcia,2020-04-28,1475,10.91,130,1,2
Andalucía,2020-04-29,12004,18.75,1188,91,20
Aragón,2020-04-29,5042,53.36,736,38,1
Cantabria,2020-04-29,2146,72.97,191,31,3
Castilla y León,2020-04-29,16690,165.45,1736,101,26
Castilla-La Mancha,2020-04-29,15785,154.56,2436,79,40
Cataluña,2020-04-29,48654,158.29,4905,496,97
Ceuta,2020-04-29,101,12.98,4,1,0
Comunidad de Madrid,2020-04-29,60765,168.67,8105,981,57
Comunidad Foral de Navarra,2020-04-29,4794,115.41,448,35,16
Comunidad Valenciana,2020-04-29,10236,20.88,1218,32,18
España,2020-04-29,212917,86.29,24275,2144,453
Extremadura,2020-04-29,2764,28.28,440,13,7
Galicia,2020-04-29,9466,65.12,547,138,135
Islas Baleares,2020-04-29,1879,23.75,185,9,4
Islas Canarias,2020-04-29,2202,10.54,134,15,1
La Rioja,2020-04-29,3910,142.99,330,13,4
Melilla,2020-04-29,114,13.87,2,0,0
País Vasco,2020-04-29,12619,97.07,1274,55,19
Principado de Asturias,2020-04-29,2266,25.32,266,11,5
Región de Murcia,2020-04-29,1480,9.04,130,5,0
Andalucía,2020-04-30,12048,17.3,1207,44,19
Aragón,2020-04-30,5091,51.54,739,49,3
Cantabria,2020-04-30,2173,73.83,191,27,0
Castilla y León,2020-04-30,16885,145.11,1752,195,16
Castilla-La Mancha,2020-04-30,15832,133.7,2463,47,27
Cataluña,2020-04-30,48916,150.64,4975,262,70
Ceuta,2020-04-30,101,12.98,4,0,0
Comunidad de Madrid,2020-04-30,61171,157.23,8176,406,71
Comunidad Foral de Navarra,2020-04-30,4815,103.02,451,21,3
Comunidad Valenciana,2020-04-30,10331,18.97,1236,95,18
España,2020-04-30,213435,78.87,24543,518,268
Extremadura,2020-04-30,2785,19.11,446,21,6
Galicia,2020-04-30,8697,59.83,547,-769,0
Islas Baleares,2020-04-30,1883,21.4,188,4,3
Islas Canarias,2020-04-30,2205,10.08,135,3,1
La Rioja,2020-04-30,3918,119.63,332,8,2
Melilla,2020-04-30,114,12.72,2,0,0
País Vasco,2020-04-30,12701,77.59,1296,82,22
Principado de Asturias,2020-04-30,2283,19.75,273,17,7
Región de Murcia,2020-04-30,1486,4.22,130,6,0
Andalucía,2020-05-01,12161,17.7,1238,113,31
Aragón,2020-05-01,5116,47.53,749,25,10
Cantabria,2020-05-01,2184,69.01,192,11,1
Castilla y León,2020-05-01,16993,127.82,1770,108,18
Castilla-La Mancha,2020-05-01,15910,95.92,2498,78,35
Cataluña,2020-05-01,49307,143.2,5061,391,86
Ceuta,2020-05-01,101,12.98,4,0,0
Comunidad de Madrid,2020-05-01,61829,83.97,8222,658,46
Comunidad Foral de Navarra,2020-05-01,4848,95.08,458,33,7
Comunidad Valenciana,2020-05-01,10347,17.21,1245,16,9
España,2020-05-01,215216,63.78,24824,1781,281
Extremadura,2020-05-01,2811,14.52,451,26,5
Galicia,2020-05-01,8848,60.23,555,151,8
Islas Baleares,2020-05-01,1894,19.66,193,11,5
Islas Canarias,2020-05-01,2206,9.15,136,1,1
La Rioja,2020-05-01,3936,122.79,333,18,1
Melilla,2020-05-01,115,12.72,2,1,0
País Vasco,2020-05-01,12824,69.62,1312,123,16
Principado de Asturias,2020-05-01,2298,17.01,273,15,0
Región de Murcia,2020-05-01,1488,4.35,132,2,2
Andalucía,2020-05-02,12207,17.05,1253,46,15
Aragón,2020-05-02,5136,44.34,761,20,12
Cantabria,2020-05-02,2201,53.69,193,17,1
Castilla y León,2020-05-02,17165,118.73,1788,172,18
Castilla-La Mancha,2020-05-02,15967,81.41,2534,57,36
Cataluña,2020-05-02,49850,129.08,5137,543,76
Ceuta,2020-05-02,101,9.44,4,0,0
Comunidad de Madrid,2020-05-02,62073,75.88,8292,244,70
Comunidad Foral de Navarra,2020-05-02,4888,82.39,460,40,2
Comunidad Valenciana,2020-05-02,10411,16.53,1258,64,13
España,2020-05-02,216582,57.88,25100,1366,276
Extremadura,2020-05-02,2824,15.08,458,13,7
Galicia,2020-05-02,8902,59.6,557,54,2
Islas Baleares,2020-05-02,1902,15.49,197,8,4
Islas Canarias,2020-05-02,2212,8.22,140,6,4
La Rioja,2020-05-02,3947,114.9,334,11,1
Melilla,2020-05-02,115,12.72,2,0,0
País Vasco,2020-05-02,12887,60.42,1321,63,9
Principado de Asturias,2020-05-02,2303,14.67,279,5,6
Región de Murcia,2020-05-02,1491,4.08,132,3,0
Andalucía,2020-05-03,12175,16.66,1256,-32,3
Aragón,2020-05-03,5164,44.34,761,28,0
Cantabria,2020-05-03,2205,53.69,195,4,2
Castilla y León,2020-05-03,17283,118.73,1800,118,12
Castilla-La Mancha,2020-05-03,16017,81.41,2565,50,31
Cataluña,2020-05-03,50234,129.08,5185,384,48
Ceuta,2020-05-03,101,9.44,4,0,0
Comunidad de Madrid,2020-05-03,62205,76.81,8332,132,40
Comunidad Foral de Navarra,2020-05-03,4902,82.39,462,14,2
Comunidad Valenciana,2020-05-03,10436,16.53,1264,25,6
España,2020-05-03,217466,57.94,25264,884,164
Extremadura,2020-05-03,2844,15.08,460,20,2
Galicia,2020-05-03,8967,59.6,563,65,6
Islas Baleares,2020-05-03,1908,15.49,197,6,0
Islas Canarias,2020-05-03,2221,8.22,140,9,0
La Rioja,2020-05-03,3952,114.9,335,5,1
Melilla,2020-05-03,117,12.72,2,2,0
País Vasco,2020-05-03,12938,60.42,1329,51,8
Principado de Asturias,2020-05-03,2305,14.67,280,2,1
Región de Murcia,2020-05-03,1492,4.08,134,1,2
Andalucía,2020-05-04,12194,14.24,1263,19,7
Aragón,2020-05-04,5188,40.48,762,24,1
Cantabria,2020-05-04,2206,40.1,197,1,2
Castilla y León,2020-05-04,17334,106.4,1818,51,18
Castilla-La Mancha,2020-05-04,16050,65.18,2590,33,25
Cataluña,2020-05-04,50366,113.22,5220,132,35
Ceuta,2020-05-04,101,9.44,4,0,0
Comunidad de Madrid,2020-05-04,62395,69.23,8376,190,44
Comunidad Foral de Navarra,2020-05-04,4918,71.69,466,16,4
Comunidad Valenciana,2020-05-04,10436,14.55,1269,0,5
España,2020-05-04,218011,50.99,25428,545,164
Extremadura,2020-05-04,2849,14.7,460,5,0
Galicia,2020-05-04,9011,55.68,569,44,6
Islas Baleares,2020-05-04,1908,13.83,197,0,0
Islas Canarias,2020-05-04,2225,7.34,141,4,1
La Rioja,2020-05-04,3961,93.75,335,9,0
